"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
6.6576004864,-4.99992E-005,0,0.0042924003136,0,0,-1,95.2665399553706,0.911626830200921
6.679500488,-4.99992E-005,0,0.004270500312,0,0,-1,95.3062978953859,0.909540057473997
6.7014004896,-4.99992E-005,0,0.0042486003104,0,0,-1,95.3460558354012,0.907452414048123
6.7233004912,-4.99992E-005,0,0.0042267003088,0,0,-1,95.3858137754165,0.905363899923299
6.7452004928,-4.99992E-005,0,0.0042048003072,0,0,-1,95.4255717154318,0.903274515099525
6.7671004944,-4.99992E-005,0,0.0041829003056,0,0,-1,95.4653296554472,0.901184259576801
6.789000496,-4.99992E-005,0,0.004161000304,0,0,-1,95.5050875954624,0.899093133355127
6.8109004976,-4.99992E-005,0,0.0041391003024,0,0,-1,95.577021224022,0.897001107040247
6.8328004992,-4.99992E-005,0,0.0041172003008,0,0,-1,95.5926530951513,0.894907798953516
6.8547005008,-4.99992E-005,0,0.0040953002992,0,0,-1,95.6082849662805,0.892814148528782
6.8766005024,-4.99992E-005,0,0.0040734002976,0,0,-1,95.6239168374098,0.890720155766046
6.898500504,-4.99992E-005,0,0.004051500296,0,0,-1,95.6395487085391,0.888625820665308
6.9204005056,-4.99992E-005,0,0.0040296002944,0,0,-1,95.6551805796683,0.886531143226566
6.9423005072,-4.99992E-005,0,0.0040077002928,0,0,-1,95.6708124507976,0.884436123449822
6.9642005088,-4.99992E-005,0,0.0039858002912,0,0,-1,95.6864443219268,0.882340761335075
6.9861005104,-4.99992E-005,0,0.0039639002896,0,0,-1,95.7020761930561,0.880245056882325
7.008000512,-4.99992E-005,0,0.003942000288,0,0,-1,95.7177080641853,0.878149010091572
7.0299005136,-4.99992E-005,0,0.0039201002864,0,0,-1,95.7333399353146,0.876052620962817
7.0518005152,-4.99992E-005,0,0.0038982002848,0,0,-1,95.7489718064438,0.873955889496058
7.0737005168,-4.99992E-005,0,0.0038763002832,0,0,-1,95.7646036775731,0.871858815691298
7.0956005184,-4.99992E-005,0,0.0038544002816,0,0,-1,95.7802355487024,0.869761399548534
7.11750052,-4.99992E-005,0,0.00383250028,0,0,-1,95.7958674198316,0.867663641067767
7.1394005216,-4.99992E-005,0,0.0038106002784,0,0,-1,95.8114992909609,0.865565540248998
7.1613005232,-4.99992E-005,0,0.0037887002768,0,0,-1,95.8271311620902,0.863467097092227
7.1832005248,-4.99992E-005,0,0.0037668002752,0,0,-1,95.8353059680962,0.861368366276701
7.2051005264,-4.99992E-005,0,0.0037449002736,0,0,-1,95.8399391257763,0.859269522189583
7.227000528,-4.99992E-005,0,0.003723000272,0,0,-1,95.8445722834564,0.857170576636304
7.2489005296,-4.99992E-005,0,0.0037011002704,0,0,-1,95.8492054411364,0.855071529616865
7.2708005312,-4.99992E-005,0,0.0036792002688,0,0,-1,95.8538385988165,0.852972381131265
7.2927005328,-4.99992E-005,0,0.0036573002672,0,0,-1,95.8584717564966,0.850873131179504
7.3146005344,-4.99992E-005,0,0.0036354002656,0,0,-1,95.8631049141766,0.848773779761583
7.336500536,-4.99992E-005,0,0.003613500264,0,0,-1,95.8677380718567,0.846674326877501
7.3584005376,-4.99992E-005,0,0.0035916002624,0,0,-1,95.8723712295367,0.844574772527259
7.3803005392,-4.99992E-005,0,0.0035697002608,0,0,-1,95.8770043872168,0.842475116710856
7.4022005408,-4.99992E-005,0,0.0035478002592,0,0,-1,95.8816375448969,0.840375359428293
7.4241005424,-4.99992E-005,0,0.0035259002576,0,0,-1,95.8862707025769,0.838275500679569
7.446000544,-4.99992E-005,0,0.003504000256,0,0,-1,95.890903860257,0.836175540464684
7.4679005456,-4.99992E-005,0,0.0034821002544,0,0,-1,95.8955370179371,0.834075478783638
7.4898005472,-4.99992E-005,0,0.0034602002528,0,0,-1,95.9001701756171,0.831975315636432
7.5117005488,-4.99992E-005,0,0.0034383002512,0,0,-1,95.9048033332972,0.829875051023066
7.5336005504,-4.99992E-005,0,0.0034164002496,0,0,-1,95.9103136707197,0.82777468088137
