"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
5.3874003936,-0.0006125996064,0,0.005,1,0,0,0.242659256475301
5.4093003952,-0.0005906996048,0,0.005,1,0,0,0.266299012137617
5.4312003968,-0.0005687996032,0,0.005,1,0,0,0.289938767799933
5.4531003984,-0.0005468996016,0,0.005,1,0,0,0.313578523462249
5.4750004,-0.0005249996,0,0.005,1,0,0,0.337218279124565
5.4969004016,-0.0005030995984,0,0.005,1,0,0,0.360858034786881
5.5188004032,-0.0004811995968,0,0.005,1,0,0,0.377883188865805
5.5407004048,-0.0004592995952,0,0.005,1,0,0,0.45431226679331
5.5626004064,-0.0004373995936,0,0.005,1,0,0,0.530741344720814
5.584500408,-0.000415499592,0,0.005,1,0,0,0.607170422648322
5.6064004096,-0.0003935995904,0,0.005,1,0,0,0.683599500575827
5.6283004112,-0.0003716995888,0,0.005,1,0,0,0.760028578503331
5.6502004128,-0.0003497995872,0,0.005,1,0,0,0.836457656430839
5.6721004144,-0.0003278995856,0,0.005,1,0,0,0.912886734358344
5.694000416,-0.000305999584,0,0.005,1,0,0,1.11829954704682
5.7159004176,-0.0002840995824,0,0.005,1,0,0,1.33954161473171
5.7378004192,-0.0002621995808,0,0.005,1,0,0,1.56078368241659
5.7597004208,-0.0002402995792,0,0.005,1,0,0,1.6695890475987
5.7816004224,-0.0002183995776,0,0.005,1,0,0,2.26171327238444
5.803500424,-0.000196499576,0,0.005,1,0,0,2.85383749717015
5.8254004256,-0.0001745995744,0,0.005,1,0,0,3.44596172195587
5.8473004272,-0.0001526995728,0,0.005,1,0,0,4.76854251428342
5.8692004288,-0.0001307995712,0,0.005,1,0,0,6.83036337964683
5.8911004304,-0.0001088995696,0,0.005,1,0,0,8.89218424501025
5.913000432,-8.69995679999995E-005,0,0.005,1,0,0,20.4694179497194
5.9349004336,-6.50995663999998E-005,0,0.005,1,0,0,43.020071894163
5.9568004352,-4.99992E-005,0,0.0049932003648,0,0,-1,99.720874481285
5.9787004368,-4.99992E-005,0,0.0049713003632,0,0,-1,91.7124223168671
6.0006004384,-4.99992E-005,0,0.0049494003616,0,0,-1,86.7051162935414
6.02250044,-4.99992E-005,0,0.00492750036,0,0,-1,87.8573578572846
6.0444004416,-4.99992E-005,0,0.0049056003584,0,0,-1,88.8217153786684
6.0663004432,-4.99992E-005,0,0.0048837003568,0,0,-1,89.4388987648634
6.0882004448,-4.99992E-005,0,0.0048618003552,0,0,-1,90.0560821510585
6.1101004464,-4.99992E-005,0,0.0048399003536,0,0,-1,90.6732655372535
6.132000448,-4.99992E-005,0,0.004818000352,0,0,-1,91.2904489234486
6.1539004496,-4.99992E-005,0,0.0047961003504,0,0,-1,91.5611253745957
6.1758004512,-4.99992E-005,0,0.0047742003488,0,0,-1,91.9354077452257
6.1977004528,-4.99992E-005,0,0.0047523003472,0,0,-1,92.3096901158559
6.2196004544,-4.99992E-005,0,0.0047304003456,0,0,-1,92.6002454977232
6.241500456,-4.99992E-005,0,0.004708500344,0,0,-1,92.8811816656062
6.2634004576,-4.99992E-005,0,0.0046866003424,0,0,-1,93.1621178334892
6.2853004592,-4.99992E-005,0,0.0046647003408,0,0,-1,93.4430540013721
6.3072004608,-4.99992E-005,0,0.0046428003392,0,0,-1,93.6148541735014
6.3291004624,-4.99992E-005,0,0.0046209003376,0,0,-1,93.7683368722489
6.351000464,-4.99992E-005,0,0.004599000336,0,0,-1,93.9218195709965
6.3729004656,-4.99992E-005,0,0.0045771003344,0,0,-1,94.1129641839003
6.3948004672,-4.99992E-005,0,0.0045552003328,0,0,-1,94.2368274144686
6.4167004688,-4.99992E-005,0,0.0045333003312,0,0,-1,94.3606906450368
6.4386004704,-4.99992E-005,0,0.0045114003296,0,0,-1,94.5114404139377
6.460500472,-4.99992E-005,0,0.004489500328,0,0,-1,94.6045616726808
6.4824004736,-4.99992E-005,0,0.0044676003264,0,0,-1,94.6976829314238
6.5043004752,-4.99992E-005,0,0.0044457003248,0,0,-1,94.7908041901669
6.5262004768,-4.99992E-005,0,0.0044238003232,0,0,-1,94.8839254489099
6.5481004784,-4.99992E-005,0,0.0044019003216,0,0,-1,94.9609247195952
6.57000048,-4.99992E-005,0,0.00438000032,0,0,-1,95.0256258539167
6.5919004816,-4.99992E-005,0,0.0043581003184,0,0,-1,95.0903269882382
6.6138004832,-4.99992E-005,0,0.0043362003168,0,0,-1,95.1550281225597
6.6357004848,-4.99992E-005,0,0.0043143003152,0,0,-1,95.2267820153553
6.6576004864,-4.99992E-005,0,0.0042924003136,0,0,-1,95.2665399553706
6.679500488,-4.99992E-005,0,0.004270500312,0,0,-1,95.3062978953859
6.7014004896,-4.99992E-005,0,0.0042486003104,0,0,-1,95.3460558354012
6.7233004912,-4.99992E-005,0,0.0042267003088,0,0,-1,95.3858137754165
6.7452004928,-4.99992E-005,0,0.0042048003072,0,0,-1,95.4255717154318
6.7671004944,-4.99992E-005,0,0.0041829003056,0,0,-1,95.4653296554472
6.789000496,-4.99992E-005,0,0.004161000304,0,0,-1,95.5050875954624
6.8109004976,-4.99992E-005,0,0.0041391003024,0,0,-1,95.577021224022
6.8328004992,-4.99992E-005,0,0.0041172003008,0,0,-1,95.5926530951513
6.8547005008,-4.99992E-005,0,0.0040953002992,0,0,-1,95.6082849662805
6.8766005024,-4.99992E-005,0,0.0040734002976,0,0,-1,95.6239168374098
6.898500504,-4.99992E-005,0,0.004051500296,0,0,-1,95.6395487085391
6.9204005056,-4.99992E-005,0,0.0040296002944,0,0,-1,95.6551805796683
6.9423005072,-4.99992E-005,0,0.0040077002928,0,0,-1,95.6708124507976
6.9642005088,-4.99992E-005,0,0.0039858002912,0,0,-1,95.6864443219268
6.9861005104,-4.99992E-005,0,0.0039639002896,0,0,-1,95.7020761930561
7.008000512,-4.99992E-005,0,0.003942000288,0,0,-1,95.7177080641853
7.0299005136,-4.99992E-005,0,0.0039201002864,0,0,-1,95.7333399353146
7.0518005152,-4.99992E-005,0,0.0038982002848,0,0,-1,95.7489718064438
